sequence_name,read_len,plasmid_file,plasmid_id,construct,strand,pid,core_len,score,start_ref,end_ref,snps,features_hit,concat_pos,min_feature_pid,rbs_pid,n_features_below_95,suspicious
EF73290196_EF73290196,1262,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_BCD8_BC_DVA,J23100_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23100 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290195_EF73290195,1216,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0034m_BC_D,B0034m_PanD_B0015,F,100.0,773,752.0,0,761,0,"misc_feature:R0010 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–761,100.0,,0,False
EF73290198_EF73290198,1206,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_BCD2_BC_DVA,J23107_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23107 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290197_EF73290197,1203,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD12_BC_DV,J23106_BCD12_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290199_EF73290199,1210,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_BCD8_BC_DVA,J23116_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23116 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290201_EF73290201,1212,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0032m_BC_D,J23102_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23102 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290200_EF73290200,1256,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0033m_BC_D,B0033m_PanD_B0015,F,100.0,772,751.0,0,760,0,"misc_feature:R0010 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–760,100.0,,0,False
EF73290203_EF73290203,1265,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD12_BC_DV,J23106_BCD12_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290204_EF73290204,1206,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_BCD2_BC_DVA,J23107_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23107 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290205_EF73290205,1169,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_BCD8_BC_DVA,J23116_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23116 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290206_EF73290206,1257,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0033m_BC_D,B0033m_PanD_B0015,F,100.0,772,751.0,0,760,0,"misc_feature:R0010 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–760,100.0,,0,False
EF73290207_EF73290207,1216,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0032m_BC_D,J23102_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23102 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290209_EF73290209,955,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_BCD12_BC_DV,J23107_BCD12_PanD_B0015,F,99.84825493171472,671,648.0,0,659,1,"misc_feature:J23107 (100%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (99%)",0–659,100.0,,0,False
EF73290212_EF73290212,1274,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0034m_BC_D,J23102_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23102 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290211_EF73290211,1161,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_BCD8_BC_DVA,BCD8_PanD_B0015,F,100.0,836,815.0,0,824,0,"misc_feature:R0010 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–824,100.0,,0,False
EF73290210_EF73290210,1203,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_BCD2_BC_DVA,J23116_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23116 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290215_EF73290215,1206,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23107_AB.gb,B0015_DF_BCD12_BC_DV,J23107_BCD12_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23107 (100%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290213_EF73290213,1132,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_B0032m_BC_D,J23100_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23100 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290216_EF73290216,1166,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_BCD2_BC_DVA,J23116_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23116 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290217_EF73290217,1259,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_BCD8_BC_DVA,BCD8_PanD_B0015,F,100.0,836,815.0,0,824,0,"misc_feature:R0010 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–824,100.0,,0,False
EF73290219_EF73290219,1233,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_B0032m_BC_D,J23100_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23100 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290218_EF73290218,1275,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0034m_BC_D,J23102_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23102 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290221_EF73290221,1196,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_BCD12_BC_DV,J23116_BCD12_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23116 (100%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290222_EF73290222,530,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_BCD2_BC_DVA,BCD2_PanD_B0015,F,98.65900383141762,530,502.0,147,669,7,"misc_feature:R0010 (96%), 5'UTR:BCD2 (100%), CDS:PanD (99%)",147–669,100.0,,0,False
EF73290224_EF73290224,1204,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_B0034m_BC_D,J23100_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23100 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290223_EF73290223,1204,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0033m_BC_D,J23102_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23102 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290225_EF73290225,1235,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_B0032m_BC_D,J23103_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23103 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290227_EF73290227,1201,B0015_DF_BCD12_BC_DVA_cgPanD_CD_DVK_AF_J23116_AB.gb,B0015_DF_BCD12_BC_DV,J23116_BCD12_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23116 (100%), 5'UTR:BCD12 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290228_EF73290228,1164,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_BCD2_BC_DVA,J23100_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23100 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290229_EF73290229,1218,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0033m_BC_D,J23102_B0033m_PanD_B0015,F,99.83193277310924,607,584.0,0,595,1,"misc_feature:J23102 (97%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290230_EF73290230,1273,B0015_DF_B0034m_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_B0034m_BC_D,J23100_B0034m_PanD_B0015,F,100.0,608,587.0,0,596,0,"misc_feature:J23100 (100%), RBS:B0034m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–596,100.0,,0,False
EF73290231_EF73290231,1204,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_B0032m_BC_D,J23103_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23103 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290233_EF73290233,1061,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0032m_BC_D,B0032m_PanD_B0015,F,100.0,774,753.0,0,762,0,"misc_feature:R0010 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–762,100.0,,0,False
EF73290234_EF73290234,748,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_BCD8_BC_DVA,J23102_BCD8_PanD_B0015,F,99.39301972685888,674,637.5,0,659,4,"misc_feature:J23102 (97%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (98%)",0–659,100.0,,0,False
EF73290236_EF73290236,1203,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23103_AB.gb,B0015_DF_BCD8_BC_DVA,J23103_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23103 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290237_EF73290237,1202,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_B0032m_BC_D,J23106_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23106 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
EF73290240_EF73290240,1265,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_BCD8_BC_DVA,J23102_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23102 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290239_EF73290239,1244,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_R0010_AB.gb,B0015_DF_B0032m_BC_D,B0032m_PanD_B0015,F,100.0,774,753.0,0,762,0,"misc_feature:R0010 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–762,100.0,,0,False
EF73290241_EF73290241,1203,B0015_DF_BCD2_BC_DVA_cgPanD_CD_DVK_AF_J23100_AB.gb,B0015_DF_BCD2_BC_DVA,J23100_BCD2_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23100 (100%), 5'UTR:BCD2 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290242_EF73290242,1208,B0015_DF_BCD8_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_BCD8_BC_DVA,J23106_BCD8_PanD_B0015,F,100.0,671,650.0,0,659,0,"misc_feature:J23106 (100%), 5'UTR:BCD8 (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–659,100.0,,0,False
EF73290257_EF73290257,1202,B0015_DF_B0033m_BC_DVA_cgPanD_CD_DVK_AF_J23102_AB.gb,B0015_DF_B0033m_BC_D,J23102_B0033m_PanD_B0015,F,100.0,607,586.0,0,595,0,"misc_feature:J23102 (100%), 5'UTR:B0033m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–595,100.0,,0,False
EF73290243_EF73290243,1274,B0015_DF_B0032m_BC_DVA_cgPanD_CD_DVK_AF_J23106_AB.gb,B0015_DF_B0032m_BC_D,J23106_B0032m_PanD_B0015,F,100.0,609,588.0,0,597,0,"misc_feature:J23106 (100%), 5'UTR:B0032m (100%), CDS:PanD (100%), misc_feature:B0015 (100%)",0–597,100.0,,0,False
